id,file,cluster,group
1,data_clean\train\def_front\cast_def_0_387.jpeg,1,B
2,data_clean\train\def_front\cast_def_0_6210.jpeg,0,A
3,data_clean\train\def_front\cast_def_0_7298.jpeg,1,B
4,data_clean\train\def_front\cast_def_0_2833.jpeg,0,A
5,data_clean\train\def_front\cast_def_0_732.jpeg,1,B
6,data_clean\train\def_front\cast_def_0_9604.jpeg,1,B
7,data_clean\train\def_front\cast_def_0_9808.jpeg,1,B
8,data_clean\train\def_front\cast_def_0_3308.jpeg,1,B
9,data_clean\train\def_front\cast_def_0_443.jpeg,1,B
10,data_clean\val\def_front\cast_def_0_534.jpeg,0,A
11,data_clean\train\def_front\cast_def_0_4642.jpeg,1,B
12,data_clean\val\def_front\cast_def_0_1462.jpeg,1,B
13,data_clean\train\def_front\cast_def_0_6548.jpeg,0,A
14,data_clean\val\def_front\cast_def_0_1620.jpeg,0,A
15,data_clean\train\def_front\cast_def_0_1000.jpeg,1,B
16,data_clean\train\def_front\cast_def_0_8482.jpeg,0,A
17,data_clean\train\def_front\cast_def_0_2924.jpeg,0,A
18,data_clean\train\def_front\cast_def_0_2489.jpeg,0,A
19,data_clean\train\def_front\cast_def_0_2558.jpeg,0,A
20,data_clean\train\def_front\cast_def_0_9929.jpeg,1,B
21,data_clean\train\def_front\cast_def_0_9156.jpeg,0,A
22,data_clean\train\def_front\cast_def_0_4584.jpeg,0,A
23,data_clean\train\def_front\cast_def_0_1868.jpeg,0,A
24,data_clean\train\def_front\cast_def_0_6895.jpeg,1,B
25,data_clean\val\def_front\cast_def_0_3387.jpeg,0,A
26,data_clean\train\def_front\cast_def_0_7677.jpeg,1,B
27,data_clean\train\def_front\cast_def_0_3876.jpeg,1,B
28,data_clean\train\def_front\cast_def_0_3253.jpeg,1,B
29,data_clean\train\def_front\cast_def_0_7826.jpeg,0,A
30,data_clean\train\def_front\cast_def_0_9389.jpeg,1,B
31,data_clean\train\def_front\cast_def_0_4387.jpeg,1,B
32,data_clean\train\def_front\cast_def_0_5832.jpeg,0,A
33,data_clean\train\def_front\cast_def_0_8272.jpeg,0,A
34,data_clean\train\def_front\cast_def_0_5040.jpeg,1,B
35,data_clean\train\def_front\cast_def_0_3518.jpeg,0,A
36,data_clean\train\def_front\cast_def_0_3097.jpeg,1,B
37,data_clean\train\def_front\cast_def_0_640.jpeg,0,A
38,data_clean\train\def_front\cast_def_0_5251.jpeg,0,A
39,data_clean\train\def_front\cast_def_0_1328.jpeg,0,A
40,data_clean\train\def_front\cast_def_0_8111.jpeg,1,B
41,data_clean\train\def_front\cast_def_0_4911.jpeg,0,A
42,data_clean\train\def_front\cast_def_0_4419.jpeg,1,B
43,data_clean\train\def_front\cast_def_0_1082.jpeg,0,A
44,data_clean\train\def_front\cast_def_0_4230.jpeg,0,A
45,data_clean\train\def_front\cast_def_0_5237.jpeg,1,B
46,data_clean\train\def_front\cast_def_0_9785.jpeg,1,B
47,data_clean\train\def_front\cast_def_0_2158.jpeg,0,A
48,data_clean\train\def_front\cast_def_0_3985.jpeg,1,B
49,data_clean\train\def_front\cast_def_0_1008.jpeg,0,A
50,data_clean\train\def_front\cast_def_0_6006.jpeg,0,A
51,data_clean\val\def_front\cast_def_0_552.jpeg,1,B
52,data_clean\train\def_front\cast_def_0_8863.jpeg,0,A
53,data_clean\train\def_front\cast_def_0_5583.jpeg,1,B
54,data_clean\train\def_front\cast_def_0_4181.jpeg,0,A
55,data_clean\train\def_front\cast_def_0_9444.jpeg,1,B
56,data_clean\train\def_front\cast_def_0_9886.jpeg,0,A
57,data_clean\train\def_front\cast_def_0_6505.jpeg,0,A
58,data_clean\train\def_front\cast_def_0_304.jpeg,0,A
59,data_clean\train\def_front\cast_def_0_1212.jpeg,1,B
60,data_clean\train\def_front\cast_def_0_8460.jpeg,0,A
61,data_clean\train\def_front\cast_def_0_7644.jpeg,0,A
62,data_clean\train\def_front\cast_def_0_4626.jpeg,0,A
